room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7651227,22135209,Shared room,,5,1,0,2,1,173,,25.788135,-80.144174,12:23.0
6571669,34371905,Shared room,,5,0,0,1,1,250,,25.782167,-80.142766,12:23.0
13940771,82916745,Shared room,,3,1,0,1,1,40,,25.846506,-80.175405,12:23.0
16158834,32936143,Shared room,,3,2,0,1,1,25,,25.782358,-80.195745,12:23.0
18427613,89210413,Shared room,,3,0,0,1,1,29,,25.848597,-80.185831,12:23.0
17850280,8332010,Shared room,,5,0,0,1,1,100,,25.787051,-80.144793,12:23.0
15968894,103720080,Shared room,,4,1,0,2,1,35,,25.84725,-80.1508,12:23.0
1449567,7779386,Shared room,,5,5,5,2,1,150,,25.768646,-80.190877,12:23.0
16093043,104359573,Shared room,,5,2,0,2,1,50,,25.783443,-80.143046,12:23.0
5183264,10287437,Shared room,,3,36,4.5,1,1,30,,25.792341,-80.186378,12:23.0
5184486,10287437,Shared room,,3,37,4.5,1,1,35,,25.793033,-80.186344,12:23.0
13615075,42723756,Shared room,,5,4,5,5,1,45,,25.786568,-80.254997,12:21.5
16087059,34320146,Shared room,,3,1,0,2,1,85,,25.796095,-80.205373,12:21.5
5184334,10287437,Shared room,,3,44,4.5,1,1,40,,25.79223,-80.186739,12:21.5
5185086,10287437,Shared room,,3,11,4.5,1,1,40,,25.793046,-80.188306,12:21.5
13675417,79553415,Shared room,,7,0,0,2,1,15,,25.710267,-80.279996,12:21.5
5242794,10287437,Shared room,,3,20,4.5,1,1,40,,25.791796,-80.186877,12:21.5
16742826,111066327,Shared room,,5,4,5,2,1,30,,25.75712,-80.202605,12:21.5
17484534,118459747,Shared room,,5,1,0,6,1,143,,25.760659,-80.192629,12:21.5
18042968,51775331,Shared room,,3,0,0,4,1,35,,25.811259,-80.188683,12:21.5
13097844,46023313,Shared room,,3,30,5,2,1,25,,25.799536,-80.188298,12:21.5
7182607,10287437,Shared room,,3,24,4.5,1,1,40,,25.792469,-80.185834,12:21.4
17011949,114034019,Shared room,,5,0,0,2,1,30,,25.753283,-80.214515,12:21.4
16747763,99265604,Shared room,,5,1,0,1,1,20,,25.770881,-80.21894,12:19.7
18749641,99265604,Shared room,,5,0,0,1,1,15,,25.77216,-80.217251,12:19.7
